Open_Closed,WhoAff,PopAff,Var_R,Var_A,M,K,Yr_Dist_Start,Dist_Length,Yr_Dist_End,Yr_Sampled,Samp_time,Dist_Impact,IO,BA,BACI
open,juvs,both,5400,0.014,0.119,1,0,1,1,0,-1,0,0.500394,0.498002,0.498002
open,juvs,both,5400,0.014,0.119,1,0,1,1,1,0,0,0.612406,0.529078,0.59535
open,juvs,both,5400,0.014,0.119,1,0,1,1,2,1,0,0.683376,0.57157,0.662196
open,juvs,both,5400,0.014,0.119,1,0,1,1,3,2,0,0.771252,0.644274,0.748428
open,juvs,both,5400,0.014,0.119,1,0,1,1,4,3,0,0.835616,0.71238,0.798974
open,juvs,both,5400,0.014,0.119,1,0,1,1,5,4,0,0.866684,0.760226,0.844878
open,juvs,both,5400,0.014,0.119,1,0,1,1,6,5,0,0.88135,0.802272,0.855884
open,juvs,both,5400,0.014,0.119,1,0,1,1,7,6,0,0.901724,0.841226,0.884584
open,juvs,both,5400,0.014,0.119,1,0,1,1,8,7,0,0.910644,0.864676,0.885792
open,juvs,both,5400,0.014,0.119,1,0,1,1,9,8,0,0.90545,0.877092,0.893164
open,juvs,both,5400,0.014,0.119,1,0,1,1,10,9,0,0.925824,0.896748,0.924096
open,juvs,both,5400,0.014,0.119,1,0,1,1,11,10,0,0.950094,0.924676,0.933642
open,juvs,both,5400,0.014,0.119,1,0,1,1,12,11,0,0.947394,0.93067,0.941056
open,juvs,both,5400,0.014,0.119,1,0,1,1,13,12,0,0.950206,0.930524,0.945866
open,juvs,both,5400,0.014,0.119,1,0,1,1,14,13,0,0.965376,0.945344,0.951956
open,juvs,both,5400,0.014,0.119,1,0,1,1,15,14,0,0.956012,0.9423,0.94168
open,juvs,both,5400,0.014,0.119,1,0,1,1,16,15,0,0.957672,0.95048,0.945586
open,juvs,both,5400,0.014,0.119,1,0,1,1,17,16,0,0.964762,0.956316,0.958228
open,juvs,both,5400,0.014,0.119,1,0,1,1,18,17,0,0.970696,0.960518,0.956212
open,juvs,both,5400,0.014,0.119,1,0,1,1,19,18,0,0.976764,0.966,0.966034
open,juvs,both,5400,0.014,0.119,1,0,1,1,20,19,0,0.973754,0.965358,0.968104
open,juvs,both,5400,0.014,0.119,1,0,1,1,21,20,0,0.973496,0.964044,0.967138
open,juvs,both,5400,0.014,0.119,1,0,1,1,22,21,0,0.973692,0.965492,0.964972
open,juvs,both,5400,0.014,0.119,1,0,1,1,23,22,0,0.975594,0.965334,0.965418
open,juvs,both,5400,0.014,0.119,1,0,1,1,24,23,0,0.981794,0.973496,0.978342
open,juvs,both,5400,0.014,0.119,1,0,1,1,25,24,0,0.978056,0.97264,0.97425
open,juvs,both,5400,0.014,0.119,1,0,1,1,26,25,0,0.976964,0.968518,0.972252
open,juvs,both,5400,0.014,0.119,1,0,1,1,0,-1,0.05,0.496706,0.498002,0.498002
open,juvs,both,5400,0.014,0.119,1,0,1,1,1,0,0.05,0.598664,0.518166,0.583034
open,juvs,both,5400,0.014,0.119,1,0,1,1,2,1,0.05,0.728762,0.583932,0.702286
open,juvs,both,5400,0.014,0.119,1,0,1,1,3,2,0.05,0.78242,0.655072,0.7623
open,juvs,both,5400,0.014,0.119,1,0,1,1,4,3,0.05,0.837586,0.693376,0.804524
open,juvs,both,5400,0.014,0.119,1,0,1,1,5,4,0.05,0.873532,0.747764,0.850748
