Open_Closed,WhoAff,PopAff,Var_R,Var_A,M,K,Yr_Dist_Start,Dist_Length,Yr_Dist_End,Yr_Sampled,Samp_time,Dist_Impact,IO,BA,BACI
closed,juvs,both,5400,0.014,0.119,1,0,1,1,0,-1,0,0.473014,0.498002,0.498002
closed,juvs,both,5400,0.014,0.119,1,0,1,1,1,0,0,0.614484,0.522726,0.624564
closed,juvs,both,5400,0.014,0.119,1,0,1,1,2,1,0,0.708488,0.595936,0.717316
closed,juvs,both,5400,0.014,0.119,1,0,1,1,3,2,0,0.78188,0.666464,0.776846
closed,juvs,both,5400,0.014,0.119,1,0,1,1,4,3,0,0.84191,0.723734,0.83425
closed,juvs,both,5400,0.014,0.119,1,0,1,1,5,4,0,0.869134,0.774902,0.867016
closed,juvs,both,5400,0.014,0.119,1,0,1,1,6,5,0,0.883456,0.815292,0.881054
closed,juvs,both,5400,0.014,0.119,1,0,1,1,7,6,0,0.902778,0.838664,0.901122
closed,juvs,both,5400,0.014,0.119,1,0,1,1,8,7,0,0.9078,0.8668,0.90678
closed,juvs,both,5400,0.014,0.119,1,0,1,1,9,8,0,0.927672,0.891952,0.924988
closed,juvs,both,5400,0.014,0.119,1,0,1,1,10,9,0,0.929842,0.90462,0.9334
closed,juvs,both,5400,0.014,0.119,1,0,1,1,11,10,0,0.935604,0.92327,0.933948
closed,juvs,both,5400,0.014,0.119,1,0,1,1,12,11,0,0.944424,0.927574,0.934778
closed,juvs,both,5400,0.014,0.119,1,0,1,1,13,12,0,0.947506,0.932408,0.942358
closed,juvs,both,5400,0.014,0.119,1,0,1,1,14,13,0,0.942414,0.938354,0.938718
closed,juvs,both,5400,0.014,0.119,1,0,1,1,15,14,0,0.962708,0.954008,0.958176
closed,juvs,both,5400,0.014,0.119,1,0,1,1,16,15,0,0.961224,0.948184,0.956806
closed,juvs,both,5400,0.014,0.119,1,0,1,1,17,16,0,0.963606,0.955314,0.959734
closed,juvs,both,5400,0.014,0.119,1,0,1,1,18,17,0,0.967358,0.964694,0.961006
closed,juvs,both,5400,0.014,0.119,1,0,1,1,19,18,0,0.972886,0.967202,0.96811
closed,juvs,both,5400,0.014,0.119,1,0,1,1,20,19,0,0.972614,0.965806,0.96655
closed,juvs,both,5400,0.014,0.119,1,0,1,1,21,20,0,0.975856,0.9705,0.975956
closed,juvs,both,5400,0.014,0.119,1,0,1,1,22,21,0,0.97503,0.97023,0.97482
closed,juvs,both,5400,0.014,0.119,1,0,1,1,23,22,0,0.97583,0.970556,0.974738
closed,juvs,both,5400,0.014,0.119,1,0,1,1,24,23,0,0.976576,0.971916,0.974616
closed,juvs,both,5400,0.014,0.119,1,0,1,1,25,24,0,0.97459,0.967938,0.975378
closed,juvs,both,5400,0.014,0.119,1,0,1,1,26,25,0,0.979256,0.97206,0.9772
closed,juvs,both,5400,0.014,0.119,1,0,1,1,0,-1,0.05,0.493118,0.498002,0.498002
closed,juvs,both,5400,0.014,0.119,1,0,1,1,1,0,0.05,0.596454,0.520598,0.583976
closed,juvs,both,5400,0.014,0.119,1,0,1,1,2,1,0.05,0.696506,0.597096,0.676632
closed,juvs,both,5400,0.014,0.119,1,0,1,1,3,2,0.05,0.803718,0.659502,0.768422
closed,juvs,both,5400,0.014,0.119,1,0,1,1,4,3,0.05,0.84478,0.709596,0.818558
closed,juvs,both,5400,0.014,0.119,1,0,1,1,5,4,0.05,0.867644,0.764342,0.86014
closed,juvs,both,5400,0.014,0.119,1,0,1,1,6,5,0.05,0.89469,0.803212,0.87314
closed,juvs,both,5400,0.014,0.119,1,0,1,1,7,6,0.05,0.89778,0.831106,0.874112
