Open_Closed,WhoAff,Var_R,Var_A,M,K,Yr_Dist_Start,Dist_Length,Yr_Dist_End,Yr_Sampled,Samp_time,Dist_Impact,IO,BA,BACI
open,adults,5400,0.014,0.119,1,0,1,1,0,-1,0.2,0.508764,0.498002,0.498002
open,adults,5400,0.014,0.119,1,0,1,1,1,0,0.2,0.54986,0.00137,0.507794
open,adults,5400,0.014,0.119,1,0,1,1,2,1,0.2,0.57841,0.018884,0.53786
open,adults,5400,0.014,0.119,1,0,1,1,3,2,0.2,0.571152,0.06812,0.543136
open,adults,5400,0.014,0.119,1,0,1,1,4,3,0.2,0.618504,0.17045,0.587722
open,adults,5400,0.014,0.119,1,0,1,1,5,4,0.2,0.65356,0.27486,0.62313
open,adults,5400,0.014,0.119,1,0,1,1,6,5,0.2,0.686112,0.42373,0.656822
open,adults,5400,0.014,0.119,1,0,1,1,7,6,0.2,0.723468,0.53529,0.702186
open,adults,5400,0.014,0.119,1,0,1,1,8,7,0.2,0.760956,0.610926,0.72491
open,adults,5400,0.014,0.119,1,0,1,1,9,8,0.2,0.80574,0.706512,0.77933
open,adults,5400,0.014,0.119,1,0,1,1,10,9,0.2,0.832872,0.756742,0.824354
open,adults,5400,0.014,0.119,1,0,1,1,11,10,0.2,0.864466,0.802606,0.838408
open,adults,5400,0.014,0.119,1,0,1,1,12,11,0.2,0.89603,0.836356,0.86954
open,adults,5400,0.014,0.119,1,0,1,1,13,12,0.2,0.904232,0.868778,0.88278
open,adults,5400,0.014,0.119,1,0,1,1,14,13,0.2,0.925696,0.895892,0.9114
open,adults,5400,0.014,0.119,1,0,1,1,15,14,0.2,0.933968,0.911884,0.910278
open,adults,5400,0.014,0.119,1,0,1,1,16,15,0.2,0.93755,0.924468,0.923382
open,adults,5400,0.014,0.119,1,0,1,1,17,16,0.2,0.944204,0.92741,0.923972
open,adults,5400,0.014,0.119,1,0,1,1,18,17,0.2,0.961046,0.939978,0.9412
open,adults,5400,0.014,0.119,1,0,1,1,19,18,0.2,0.963608,0.948194,0.952438
open,adults,5400,0.014,0.119,1,0,1,1,20,19,0.2,0.967828,0.948812,0.951706
open,adults,5400,0.014,0.119,1,0,1,1,21,20,0.2,0.973704,0.963484,0.958108
