Open_Closed,WhoAff,Var_R,Var_A,M,K,Yr_Dist_Start,Dist_Length,Yr_Dist_End,Yr_Sampled,Samp_time,Dist_Impact,IO,BA,BACI
open,adults,5400,0.001,0.119,1,0,1,1,0,-1,0.2,0.51478,0.498002,0.498002
open,adults,5400,0.001,0.119,1,0,1,1,1,0,0.2,0.576688,0.002422,0.516988
open,adults,5400,0.001,0.119,1,0,1,1,2,1,0.2,0.584528,0.019054,0.532466
open,adults,5400,0.001,0.119,1,0,1,1,3,2,0.2,0.60361,0.075766,0.558618
open,adults,5400,0.001,0.119,1,0,1,1,4,3,0.2,0.622784,0.181614,0.578364
open,adults,5400,0.001,0.119,1,0,1,1,5,4,0.2,0.643168,0.284742,0.607268
open,adults,5400,0.001,0.119,1,0,1,1,6,5,0.2,0.683572,0.41312,0.644186
open,adults,5400,0.001,0.119,1,0,1,1,7,6,0.2,0.720596,0.534718,0.685828
open,adults,5400,0.001,0.119,1,0,1,1,8,7,0.2,0.754414,0.631126,0.722386
open,adults,5400,0.001,0.119,1,0,1,1,9,8,0.2,0.802192,0.70813,0.77125
open,adults,5400,0.001,0.119,1,0,1,1,10,9,0.2,0.828896,0.7681,0.799866
open,adults,5400,0.001,0.119,1,0,1,1,11,10,0.2,0.861124,0.801434,0.82868
open,adults,5400,0.001,0.119,1,0,1,1,12,11,0.2,0.887674,0.832004,0.860164
open,adults,5400,0.001,0.119,1,0,1,1,13,12,0.2,0.90663,0.864466,0.88248
open,adults,5400,0.001,0.119,1,0,1,1,14,13,0.2,0.916734,0.884286,0.901974
open,adults,5400,0.001,0.119,1,0,1,1,15,14,0.2,0.930964,0.903742,0.904862
open,adults,5400,0.001,0.119,1,0,1,1,16,15,0.2,0.944888,0.91822,0.92272
open,adults,5400,0.001,0.119,1,0,1,1,17,16,0.2,0.9503,0.932302,0.927344
open,adults,5400,0.001,0.119,1,0,1,1,18,17,0.2,0.960502,0.933606,0.93377
open,adults,5400,0.001,0.119,1,0,1,1,19,18,0.2,0.960004,0.943636,0.936634
open,adults,5400,0.001,0.119,1,0,1,1,20,19,0.2,0.96522,0.953178,0.947912
open,adults,5400,0.001,0.119,1,0,1,1,21,20,0.2,0.974836,0.96119,0.959048
open,adults,5400,0.001,0.119,1,0,1,1,22,21,0.2,0.968724,0.956424,0.950102
open,adults,5400,0.001,0.119,1,0,1,1,23,22,0.2,0.9681,0.954826,0.950992
open,adults,5400,0.001,0.119,1,0,1,1,24,23,0.2,0.976476,0.961314,0.96253
open,adults,5400,0.001,0.119,1,0,1,1,25,24,0.2,0.976126,0.961858,0.957532
open,adults,5400,0.001,0.119,1,0,1,1,26,25,0.2,0.97089,0.957006,0.958142
open,adults,5400,0.001,0.119,1,0,1,1,0,-1,0.25,0.496724,0.498002,0.498002
open,adults,5400,0.001,0.119,1,0,1,1,1,0,0.25,0.58036,0.004868,0.53138
open,adults,5400,0.001,0.119,1,0,1,1,2,1,0.25,0.575826,0.035276,0.539342
open,adults,5400,0.001,0.119,1,0,1,1,3,2,0.25,0.632496,0.103904,0.58341
open,adults,5400,0.001,0.119,1,0,1,1,4,3,0.25,0.651628,0.207456,0.612098
open,adults,5400,0.001,0.119,1,0,1,1,5,4,0.25,0.66492,0.329194,0.63701
open,adults,5400,0.001,0.119,1,0,1,1,6,5,0.25,0.71082,0.447934,0.686154
open,adults,5400,0.001,0.119,1,0,1,1,7,6,0.25,0.763908,0.568162,0.73555
open,adults,5400,0.001,0.119,1,0,1,1,8,7,0.25,0.77791,0.646232,0.75274
open,adults,5400,0.001,0.119,1,0,1,1,9,8,0.25,0.813374,0.711678,0.805822
open,adults,5400,0.001,0.119,1,0,1,1,10,9,0.25,0.84787,0.778394,0.830902
open,adults,5400,0.001,0.119,1,0,1,1,11,10,0.25,0.87036,0.81462,0.854558
open,adults,5400,0.001,0.119,1,0,1,1,12,11,0.25,0.900272,0.855448,0.885584
open,adults,5400,0.001,0.119,1,0,1,1,13,12,0.25,0.915498,0.878204,0.89447
open,adults,5400,0.001,0.119,1,0,1,1,14,13,0.25,0.927126,0.895474,0.90506
open,adults,5400,0.001,0.119,1,0,1,1,15,14,0.25,0.951032,0.923576,0.933944
