Open_Closed,WhoAff,Var_R,Var_A,M,K,Yr_Dist_Start,Dist_Length,Yr_Dist_End,Yr_Sampled,Samp_time,Dist_Impact,IO,BA,BACI
open,adults,5400,0.014,0.0595,1,0,1,1,0,-1,0.2,0.498402,0.498002,0.498002
open,adults,5400,0.014,0.0595,1,0,1,1,1,0,0.2,0.581762,0.000930000000000001,0.541538
open,adults,5400,0.014,0.0595,1,0,1,1,2,1,0.2,0.616814,0.007156,0.56896
open,adults,5400,0.014,0.0595,1,0,1,1,3,2,0.2,0.641942,0.047918,0.600844
open,adults,5400,0.014,0.0595,1,0,1,1,4,3,0.2,0.673736,0.115146,0.624432
open,adults,5400,0.014,0.0595,1,0,1,1,5,4,0.2,0.717758,0.240836,0.67823
open,adults,5400,0.014,0.0595,1,0,1,1,6,5,0.2,0.745848,0.375094,0.703308
open,adults,5400,0.014,0.0595,1,0,1,1,7,6,0.2,0.79839,0.520008,0.76464
open,adults,5400,0.014,0.0595,1,0,1,1,8,7,0.2,0.819754,0.633184,0.792766
open,adults,5400,0.014,0.0595,1,0,1,1,9,8,0.2,0.865154,0.732704,0.841252
open,adults,5400,0.014,0.0595,1,0,1,1,10,9,0.2,0.902084,0.809902,0.872358
open,adults,5400,0.014,0.0595,1,0,1,1,11,10,0.2,0.923474,0.868672,0.905564
open,adults,5400,0.014,0.0595,1,0,1,1,12,11,0.2,0.947916,0.917122,0.926022
open,adults,5400,0.014,0.0595,1,0,1,1,13,12,0.2,0.962134,0.934398,0.946106
open,adults,5400,0.014,0.0595,1,0,1,1,14,13,0.2,0.965876,0.95111,0.955684
open,adults,5400,0.014,0.0595,1,0,1,1,15,14,0.2,0.980306,0.972958,0.973166
open,adults,5400,0.014,0.0595,1,0,1,1,16,15,0.2,0.98166,0.976444,0.971554
open,adults,5400,0.014,0.0595,1,0,1,1,17,16,0.2,0.987626,0.981182,0.98134
open,adults,5400,0.014,0.0595,1,0,1,1,18,17,0.2,0.989512,0.986784,0.987802
open,adults,5400,0.014,0.0595,1,0,1,1,19,18,0.2,0.9939,0.99098,0.990802
open,adults,5400,0.014,0.0595,1,0,1,1,20,19,0.2,0.992764,0.989478,0.9896
open,adults,5400,0.014,0.0595,1,0,1,1,21,20,0.2,0.99268,0.990802,0.991836
open,adults,5400,0.014,0.0595,1,0,1,1,22,21,0.2,0.995856,0.993782,0.99286
open,adults,5400,0.014,0.0595,1,0,1,1,23,22,0.2,0.99459,0.994814,0.992282
open,adults,5400,0.014,0.0595,1,0,1,1,24,23,0.2,0.996664,0.99577,0.994026
open,adults,5400,0.014,0.0595,1,0,1,1,25,24,0.2,0.996742,0.996054,0.995632
open,adults,5400,0.014,0.0595,1,0,1,1,26,25,0.2,0.996948,0.996452,0.994872
open,adults,5400,0.014,0.0595,1,0,1,1,0,-1,0.3,0.469716,0.498002,0.498002
open,adults,5400,0.014,0.0595,1,0,1,1,1,0,0.3,0.60274,0.005656,0.581308
open,adults,5400,0.014,0.0595,1,0,1,1,2,1,0.3,0.657106,0.03255,0.621236
open,adults,5400,0.014,0.0595,1,0,1,1,3,2,0.3,0.6976,0.093586,0.659344
open,adults,5400,0.014,0.0595,1,0,1,1,4,3,0.3,0.723814,0.218106,0.699788
open,adults,5400,0.014,0.0595,1,0,1,1,5,4,0.3,0.739902,0.32158,0.717904
open,adults,5400,0.014,0.0595,1,0,1,1,6,5,0.3,0.786842,0.501444,0.772122
open,adults,5400,0.014,0.0595,1,0,1,1,7,6,0.3,0.807022,0.590886,0.791334
open,adults,5400,0.014,0.0595,1,0,1,1,8,7,0.3,0.857848,0.71731,0.837592
open,adults,5400,0.014,0.0595,1,0,1,1,9,8,0.3,0.888194,0.803544,0.873906
open,adults,5400,0.014,0.0595,1,0,1,1,10,9,0.3,0.926638,0.85675,0.92208
open,adults,5400,0.014,0.0595,1,0,1,1,11,10,0.3,0.943392,0.900628,0.931374
open,adults,5400,0.014,0.0595,1,0,1,1,12,11,0.3,0.959424,0.930932,0.950928
open,adults,5400,0.014,0.0595,1,0,1,1,13,12,0.3,0.975596,0.953758,0.964546
open,adults,5400,0.014,0.0595,1,0,1,1,14,13,0.3,0.97868,0.965108,0.971356
open,adults,5400,0.014,0.0595,1,0,1,1,15,14,0.3,0.983578,0.97456,0.977142
open,adults,5400,0.014,0.0595,1,0,1,1,16,15,0.3,0.985554,0.977652,0.976714
open,adults,5400,0.014,0.0595,1,0,1,1,17,16,0.3,0.986436,0.983668,0.98319
open,adults,5400,0.014,0.0595,1,0,1,1,18,17,0.3,0.9895,0.98671,0.986646
open,adults,5400,0.014,0.0595,1,0,1,1,19,18,0.3,0.994488,0.991848,0.990782
open,adults,5400,0.014,0.0595,1,0,1,1,20,19,0.3,0.994512,0.99288,0.990864
open,adults,5400,0.014,0.0595,1,0,1,1,21,20,0.3,0.995566,0.99301,0.99384
open,adults,5400,0.014,0.0595,1,0,1,1,22,21,0.3,0.99587,0.995538,0.994966
open,adults,5400,0.014,0.0595,1,0,1,1,23,22,0.3,0.996576,0.99613,0.996202
open,adults,5400,0.014,0.0595,1,0,1,1,24,23,0.3,0.997044,0.996312,0.995682
open,adults,5400,0.014,0.0595,1,0,1,1,25,24,0.3,0.99734,0.996726,0.996964
open,adults,5400,0.014,0.0595,1,0,1,1,26,25,0.3,0.997536,0.997258,0.996526
open,adults,5400,0.014,0.0595,1,0,1,1,0,-1,0.4,0.499556,0.498002,0.498002
open,adults,5400,0.014,0.0595,1,0,1,1,1,0,0.4,0.60422,0.026314,0.553004
open,adults,5400,0.014,0.0595,1,0,1,1,2,1,0.4,0.691238,0.078274,0.611526
open,adults,5400,0.014,0.0595,1,0,1,1,3,2,0.4,0.705244,0.163868,0.637486
open,adults,5400,0.014,0.0595,1,0,1,1,4,3,0.4,0.777534,0.314466,0.707814
open,adults,5400,0.014,0.0595,1,0,1,1,5,4,0.4,0.794436,0.437564,0.732192
open,adults,5400,0.014,0.0595,1,0,1,1,6,5,0.4,0.842164,0.582424,0.783468
open,adults,5400,0.014,0.0595,1,0,1,1,7,6,0.4,0.878288,0.679294,0.831618
open,adults,5400,0.014,0.0595,1,0,1,1,8,7,0.4,0.8848,0.755362,0.848142
open,adults,5400,0.014,0.0595,1,0,1,1,9,8,0.4,0.910414,0.823522,0.883252
open,adults,5400,0.014,0.0595,1,0,1,1,10,9,0.4,0.936432,0.872068,0.912002
open,adults,5400,0.014,0.0595,1,0,1,1,11,10,0.4,0.95166,0.908084,0.93125
open,adults,5400,0.014,0.0595,1,0,1,1,12,11,0.4,0.96975,0.937508,0.954636
open,adults,5400,0.014,0.0595,1,0,1,1,13,12,0.4,0.971052,0.951834,0.960018
open,adults,5400,0.014,0.0595,1,0,1,1,14,13,0.4,0.980476,0.96428,0.970318
open,adults,5400,0.014,0.0595,1,0,1,1,15,14,0.4,0.9835,0.971056,0.975806
open,adults,5400,0.014,0.0595,1,0,1,1,16,15,0.4,0.98891,0.98135,0.987592
open,adults,5400,0.014,0.0595,1,0,1,1,17,16,0.4,0.990568,0.985112,0.987118
open,adults,5400,0.014,0.0595,1,0,1,1,18,17,0.4,0.991176,0.987596,0.98478
open,adults,5400,0.014,0.0595,1,0,1,1,19,18,0.4,0.99256,0.98974,0.989996
open,adults,5400,0.014,0.0595,1,0,1,1,20,19,0.4,0.995884,0.991434,0.991484
open,adults,5400,0.014,0.0595,1,0,1,1,21,20,0.4,0.99409,0.992676,0.993436
open,adults,5400,0.014,0.0595,1,0,1,1,22,21,0.4,0.995476,0.994784,0.994788
open,adults,5400,0.014,0.0595,1,0,1,1,23,22,0.4,0.99698,0.994508,0.995284
open,adults,5400,0.014,0.0595,1,0,1,1,24,23,0.4,0.996884,0.995142,0.995898
open,adults,5400,0.014,0.0595,1,0,1,1,25,24,0.4,0.996316,0.995114,0.996674
open,adults,5400,0.014,0.0595,1,0,1,1,26,25,0.4,0.997196,0.996338,0.995826
open,adults,5400,0.014,0.0595,1,0,1,1,0,-1,0.5,0.528582,0.498002,0.498002
open,adults,5400,0.014,0.0595,1,0,1,1,1,0,0.5,0.650032,0.07232,0.567428
open,adults,5400,0.014,0.0595,1,0,1,1,2,1,0.5,0.694098,0.160106,0.61168
open,adults,5400,0.014,0.0595,1,0,1,1,3,2,0.5,0.754036,0.279592,0.672166
open,adults,5400,0.014,0.0595,1,0,1,1,4,3,0.5,0.803036,0.422394,0.731516
open,adults,5400,0.014,0.0595,1,0,1,1,5,4,0.5,0.846754,0.55763,0.787292
open,adults,5400,0.014,0.0595,1,0,1,1,6,5,0.5,0.873432,0.674324,0.824918
open,adults,5400,0.014,0.0595,1,0,1,1,7,6,0.5,0.909914,0.765842,0.87395
open,adults,5400,0.014,0.0595,1,0,1,1,8,7,0.5,0.907036,0.811512,0.868658
open,adults,5400,0.014,0.0595,1,0,1,1,9,8,0.5,0.942254,0.86766,0.916232
open,adults,5400,0.014,0.0595,1,0,1,1,10,9,0.5,0.955488,0.910168,0.930104
open,adults,5400,0.014,0.0595,1,0,1,1,11,10,0.5,0.959604,0.927988,0.941132
open,adults,5400,0.014,0.0595,1,0,1,1,12,11,0.5,0.960518,0.940784,0.954456
open,adults,5400,0.014,0.0595,1,0,1,1,13,12,0.5,0.973082,0.962038,0.959924
