Open_Closed,WhoAff,Var_R,Var_A,M,K,Yr_Dist_Start,Dist_Length,Yr_Dist_End,Yr_Sampled,Samp_time,Dist_Impact,IO,BA,BACI
open,adults,540,0.014,0.119,1,0,1,1,0,-1,0.2,0.476414,0.498002,0.498002
open,adults,540,0.014,0.119,1,0,1,1,1,0,0.2,0.598606,4e-05,0.561134
open,adults,540,0.014,0.119,1,0,1,1,2,1,0.2,0.593316,0.003046,0.567108
open,adults,540,0.014,0.119,1,0,1,1,3,2,0.2,0.601536,0.02882,0.575284
open,adults,540,0.014,0.119,1,0,1,1,4,3,0.2,0.687402,0.128096,0.635476
open,adults,540,0.014,0.119,1,0,1,1,5,4,0.2,0.693762,0.237038,0.643934
open,adults,540,0.014,0.119,1,0,1,1,6,5,0.2,0.730528,0.401936,0.675366
open,adults,540,0.014,0.119,1,0,1,1,7,6,0.2,0.784124,0.565562,0.72185
open,adults,540,0.014,0.119,1,0,1,1,8,7,0.2,0.832804,0.681974,0.767224
open,adults,540,0.014,0.119,1,0,1,1,9,8,0.2,0.872192,0.763576,0.800066
open,adults,540,0.014,0.119,1,0,1,1,10,9,0.2,0.904772,0.833992,0.8404
open,adults,540,0.014,0.119,1,0,1,1,11,10,0.2,0.921322,0.891752,0.861888
open,adults,540,0.014,0.119,1,0,1,1,12,11,0.2,0.937954,0.914204,0.885216
open,adults,540,0.014,0.119,1,0,1,1,13,12,0.2,0.94306,0.93083,0.896694
open,adults,540,0.014,0.119,1,0,1,1,14,13,0.2,0.960804,0.948852,0.915058
open,adults,540,0.014,0.119,1,0,1,1,15,14,0.2,0.966766,0.96039,0.925974
open,adults,540,0.014,0.119,1,0,1,1,16,15,0.2,0.979312,0.966124,0.941492
open,adults,540,0.014,0.119,1,0,1,1,17,16,0.2,0.983504,0.973342,0.95062
open,adults,540,0.014,0.119,1,0,1,1,18,17,0.2,0.981224,0.976704,0.950616
open,adults,540,0.014,0.119,1,0,1,1,19,18,0.2,0.982336,0.98028,0.953832
open,adults,540,0.014,0.119,1,0,1,1,20,19,0.2,0.985072,0.985002,0.964622
open,adults,540,0.014,0.119,1,0,1,1,21,20,0.2,0.989558,0.982586,0.962506
open,adults,540,0.014,0.119,1,0,1,1,22,21,0.2,0.98832,0.987714,0.966364
open,adults,540,0.014,0.119,1,0,1,1,23,22,0.2,0.990714,0.986704,0.973584
open,adults,540,0.014,0.119,1,0,1,1,24,23,0.2,0.99219,0.988358,0.97783
open,adults,540,0.014,0.119,1,0,1,1,25,24,0.2,0.991222,0.989784,0.975574
open,adults,540,0.014,0.119,1,0,1,1,26,25,0.2,0.992272,0.990958,0.978134
open,adults,540,0.014,0.119,1,0,1,1,0,-1,0.3,0.471406,0.498002,0.498002
