Open_Closed,WhoAff,Var_R,Var_A,M,K,Yr_Dist_Start,Dist_Length,Yr_Dist_End,Yr_Sampled,Samp_time,Dist_Impact,IO,BA,BACI
closed,adults,5400,0.014,0.119,1,0,1,1,0,-1,0.2,0.474586,0.498002,0.498002
closed,adults,5400,0.014,0.119,1,0,1,1,1,0,0.2,0.55151,0.003594,0.543518
closed,adults,5400,0.014,0.119,1,0,1,1,2,1,0.2,0.570578,0.024084,0.563834
closed,adults,5400,0.014,0.119,1,0,1,1,3,2,0.2,0.593228,0.069516,0.58714
closed,adults,5400,0.014,0.119,1,0,1,1,4,3,0.2,0.590104,0.15301,0.581386
closed,adults,5400,0.014,0.119,1,0,1,1,5,4,0.2,0.64245,0.267648,0.644118
closed,adults,5400,0.014,0.119,1,0,1,1,6,5,0.2,0.674104,0.367808,0.66607
closed,adults,5400,0.014,0.119,1,0,1,1,7,6,0.2,0.719682,0.483388,0.716672
closed,adults,5400,0.014,0.119,1,0,1,1,8,7,0.2,0.77857,0.600388,0.767036
closed,adults,5400,0.014,0.119,1,0,1,1,9,8,0.2,0.78984,0.669938,0.783654
closed,adults,5400,0.014,0.119,1,0,1,1,10,9,0.2,0.84385,0.733104,0.836046
closed,adults,5400,0.014,0.119,1,0,1,1,11,10,0.2,0.852616,0.776056,0.846492
closed,adults,5400,0.014,0.119,1,0,1,1,12,11,0.2,0.876374,0.828054,0.866578
closed,adults,5400,0.014,0.119,1,0,1,1,13,12,0.2,0.899266,0.861548,0.88621
closed,adults,5400,0.014,0.119,1,0,1,1,14,13,0.2,0.910714,0.875782,0.906964
closed,adults,5400,0.014,0.119,1,0,1,1,15,14,0.2,0.917354,0.895624,0.908284
closed,adults,5400,0.014,0.119,1,0,1,1,16,15,0.2,0.915454,0.901158,0.912106
closed,adults,5400,0.014,0.119,1,0,1,1,17,16,0.2,0.945058,0.927942,0.935126
closed,adults,5400,0.014,0.119,1,0,1,1,18,17,0.2,0.948966,0.935878,0.938308
closed,adults,5400,0.014,0.119,1,0,1,1,19,18,0.2,0.954102,0.946238,0.949976
closed,adults,5400,0.014,0.119,1,0,1,1,20,19,0.2,0.94758,0.947374,0.945018
closed,adults,5400,0.014,0.119,1,0,1,1,21,20,0.2,0.959466,0.955702,0.949282
closed,adults,5400,0.014,0.119,1,0,1,1,22,21,0.2,0.966852,0.963552,0.958914
closed,adults,5400,0.014,0.119,1,0,1,1,23,22,0.2,0.96471,0.962654,0.9594
closed,adults,5400,0.014,0.119,1,0,1,1,24,23,0.2,0.970526,0.966728,0.966574
closed,adults,5400,0.014,0.119,1,0,1,1,25,24,0.2,0.976068,0.967812,0.970178
closed,adults,5400,0.014,0.119,1,0,1,1,26,25,0.2,0.967042,0.96169,0.966752
closed,adults,5400,0.014,0.119,1,0,1,1,27,26,0.2,0.97512,0.966948,0.969206
closed,adults,5400,0.014,0.119,1,0,1,1,28,27,0.2,0.97139,0.96968,0.965464
closed,adults,5400,0.014,0.119,1,0,1,1,29,28,0.2,0.976644,0.972554,0.972982
closed,adults,5400,0.014,0.119,1,0,1,1,30,29,0.2,0.972622,0.969908,0.969292
closed,adults,5400,0.014,0.119,1,0,1,1,31,30,0.2,0.976776,0.976402,0.97398
closed,adults,5400,0.014,0.119,1,0,1,1,32,31,0.2,0.976226,0.9771,0.972834
closed,adults,5400,0.014,0.119,1,0,1,1,33,32,0.2,0.97663,0.972916,0.974896
closed,adults,5400,0.014,0.119,1,0,1,1,34,33,0.2,0.974816,0.975322,0.96934
closed,adults,5400,0.014,0.119,1,0,1,1,35,34,0.2,0.97574,0.977726,0.977504
closed,adults,5400,0.014,0.119,1,0,1,1,36,35,0.2,0.981362,0.977724,0.977394
closed,adults,5400,0.014,0.119,1,0,1,1,37,36,0.2,0.977114,0.975654,0.976928
closed,adults,5400,0.014,0.119,1,0,1,1,38,37,0.2,0.979542,0.97829,0.977226
closed,adults,5400,0.014,0.119,1,0,1,1,39,38,0.2,0.977854,0.975786,0.975432
closed,adults,5400,0.014,0.119,1,0,1,1,40,39,0.2,0.978342,0.979618,0.972696
closed,adults,5400,0.014,0.119,1,0,1,1,41,40,0.2,0.981394,0.982968,0.977926
closed,adults,5400,0.014,0.119,1,0,1,1,42,41,0.2,0.978492,0.981386,0.976796
closed,adults,5400,0.014,0.119,1,0,1,1,43,42,0.2,0.982012,0.983604,0.97536
closed,adults,5400,0.014,0.119,1,0,1,1,44,43,0.2,0.978108,0.981392,0.972764
closed,adults,5400,0.014,0.119,1,0,1,1,45,44,0.2,0.978506,0.981114,0.9749
closed,adults,5400,0.014,0.119,1,0,1,1,46,45,0.2,0.981484,0.983592,0.97746
closed,adults,5400,0.014,0.119,1,0,1,1,47,46,0.2,0.987554,0.987,0.98477
closed,adults,5400,0.014,0.119,1,0,1,1,48,47,0.2,0.981132,0.982824,0.980004
closed,adults,5400,0.014,0.119,1,0,1,1,49,48,0.2,0.98492,0.985698,0.982974
closed,adults,5400,0.014,0.119,1,0,1,1,50,49,0.2,0.979158,0.982756,0.97956
closed,adults,5400,0.014,0.119,1,0,1,1,51,50,0.2,0.977582,0.982472,0.976074
closed,adults,5400,0.014,0.119,1,0,1,1,52,51,0.2,0.98138,0.981768,0.980166
closed,adults,5400,0.014,0.119,1,0,1,1,53,52,0.2,0.978474,0.980116,0.976114
closed,adults,5400,0.014,0.119,1,0,1,1,54,53,0.2,0.984532,0.985422,0.982222
closed,adults,5400,0.014,0.119,1,0,1,1,55,54,0.2,0.990564,0.986306,0.990256
closed,adults,5400,0.014,0.119,1,0,1,1,56,55,0.2,0.986118,0.984314,0.9826
closed,adults,5400,0.014,0.119,1,0,1,1,0,-1,0.3,0.497826,0.498002,0.498002
closed,adults,5400,0.014,0.119,1,0,1,1,1,0,0.3,0.566812,0.01381,0.523782
closed,adults,5400,0.014,0.119,1,0,1,1,2,1,0.3,0.616442,0.050536,0.55842
closed,adults,5400,0.014,0.119,1,0,1,1,3,2,0.3,0.622344,0.116502,0.572724
closed,adults,5400,0.014,0.119,1,0,1,1,4,3,0.3,0.68609,0.21116,0.62728
closed,adults,5400,0.014,0.119,1,0,1,1,5,4,0.3,0.682932,0.311818,0.638148
closed,adults,5400,0.014,0.119,1,0,1,1,6,5,0.3,0.725496,0.420396,0.68267
closed,adults,5400,0.014,0.119,1,0,1,1,7,6,0.3,0.759894,0.513106,0.725624
closed,adults,5400,0.014,0.119,1,0,1,1,8,7,0.3,0.782982,0.579784,0.741784
closed,adults,5400,0.014,0.119,1,0,1,1,9,8,0.3,0.825854,0.671254,0.795334
closed,adults,5400,0.014,0.119,1,0,1,1,10,9,0.3,0.854936,0.72422,0.819914
closed,adults,5400,0.014,0.119,1,0,1,1,11,10,0.3,0.877588,0.784144,0.847736
closed,adults,5400,0.014,0.119,1,0,1,1,12,11,0.3,0.894086,0.814302,0.871894
closed,adults,5400,0.014,0.119,1,0,1,1,13,12,0.3,0.92541,0.85984,0.897696
closed,adults,5400,0.014,0.119,1,0,1,1,14,13,0.3,0.920918,0.871214,0.899268
closed,adults,5400,0.014,0.119,1,0,1,1,15,14,0.3,0.930792,0.892568,0.8968
closed,adults,5400,0.014,0.119,1,0,1,1,16,15,0.3,0.943208,0.904916,0.91418
closed,adults,5400,0.014,0.119,1,0,1,1,17,16,0.3,0.947696,0.917528,0.927296
closed,adults,5400,0.014,0.119,1,0,1,1,18,17,0.3,0.953722,0.92584,0.939988
closed,adults,5400,0.014,0.119,1,0,1,1,19,18,0.3,0.960618,0.93969,0.943556
closed,adults,5400,0.014,0.119,1,0,1,1,20,19,0.3,0.964308,0.942684,0.951782
closed,adults,5400,0.014,0.119,1,0,1,1,21,20,0.3,0.969232,0.952264,0.954144
closed,adults,5400,0.014,0.119,1,0,1,1,22,21,0.3,0.961898,0.946946,0.953738
closed,adults,5400,0.014,0.119,1,0,1,1,23,22,0.3,0.970008,0.955268,0.964154
closed,adults,5400,0.014,0.119,1,0,1,1,24,23,0.3,0.970118,0.957316,0.960198
closed,adults,5400,0.014,0.119,1,0,1,1,25,24,0.3,0.971924,0.961896,0.963734
closed,adults,5400,0.014,0.119,1,0,1,1,26,25,0.3,0.96624,0.957482,0.961362
closed,adults,5400,0.014,0.119,1,0,1,1,27,26,0.3,0.97717,0.965462,0.967698
closed,adults,5400,0.014,0.119,1,0,1,1,28,27,0.3,0.978918,0.967676,0.968674
closed,adults,5400,0.014,0.119,1,0,1,1,29,28,0.3,0.97743,0.970384,0.96932
closed,adults,5400,0.014,0.119,1,0,1,1,30,29,0.3,0.977788,0.972182,0.97449
closed,adults,5400,0.014,0.119,1,0,1,1,31,30,0.3,0.97696,0.968296,0.972748
closed,adults,5400,0.014,0.119,1,0,1,1,32,31,0.3,0.977462,0.968258,0.972188
closed,adults,5400,0.014,0.119,1,0,1,1,33,32,0.3,0.97385,0.968424,0.970782
closed,adults,5400,0.014,0.119,1,0,1,1,34,33,0.3,0.978536,0.96836,0.97394
closed,adults,5400,0.014,0.119,1,0,1,1,35,34,0.3,0.970048,0.964866,0.96927
closed,adults,5400,0.014,0.119,1,0,1,1,36,35,0.3,0.978698,0.970162,0.970744
closed,adults,5400,0.014,0.119,1,0,1,1,37,36,0.3,0.975896,0.97149,0.972258
closed,adults,5400,0.014,0.119,1,0,1,1,38,37,0.3,0.98402,0.975874,0.978554
closed,adults,5400,0.014,0.119,1,0,1,1,39,38,0.3,0.978296,0.973832,0.975202
closed,adults,5400,0.014,0.119,1,0,1,1,40,39,0.3,0.98089,0.969962,0.975616
closed,adults,5400,0.014,0.119,1,0,1,1,41,40,0.3,0.980782,0.970888,0.976502
closed,adults,5400,0.014,0.119,1,0,1,1,42,41,0.3,0.978464,0.974646,0.977602
closed,adults,5400,0.014,0.119,1,0,1,1,43,42,0.3,0.979246,0.971564,0.978374
closed,adults,5400,0.014,0.119,1,0,1,1,44,43,0.3,0.984314,0.97332,0.973214
closed,adults,5400,0.014,0.119,1,0,1,1,45,44,0.3,0.986416,0.975498,0.978928
closed,adults,5400,0.014,0.119,1,0,1,1,46,45,0.3,0.981118,0.973802,0.977054
closed,adults,5400,0.014,0.119,1,0,1,1,47,46,0.3,0.983672,0.972912,0.97481
closed,adults,5400,0.014,0.119,1,0,1,1,48,47,0.3,0.977812,0.969898,0.975078
closed,adults,5400,0.014,0.119,1,0,1,1,49,48,0.3,0.982268,0.969538,0.97489
closed,adults,5400,0.014,0.119,1,0,1,1,50,49,0.3,0.981872,0.97339,0.977244
closed,adults,5400,0.014,0.119,1,0,1,1,51,50,0.3,0.982814,0.975958,0.973766
closed,adults,5400,0.014,0.119,1,0,1,1,52,51,0.3,0.98752,0.980478,0.981488
closed,adults,5400,0.014,0.119,1,0,1,1,53,52,0.3,0.976438,0.972132,0.974036
closed,adults,5400,0.014,0.119,1,0,1,1,54,53,0.3,0.986356,0.975682,0.976456
closed,adults,5400,0.014,0.119,1,0,1,1,55,54,0.3,0.98059,0.973612,0.97838
closed,adults,5400,0.014,0.119,1,0,1,1,56,55,0.3,0.98372,0.976062,0.977286
closed,adults,5400,0.014,0.119,1,0,1,1,0,-1,0.4,0.4828,0.498002,0.498002
closed,adults,5400,0.014,0.119,1,0,1,1,1,0,0.4,0.600578,0.047658,0.577662
closed,adults,5400,0.014,0.119,1,0,1,1,2,1,0.4,0.619582,0.111724,0.600796
closed,adults,5400,0.014,0.119,1,0,1,1,3,2,0.4,0.662422,0.226048,0.644438
closed,adults,5400,0.014,0.119,1,0,1,1,4,3,0.4,0.671476,0.323284,0.65946
closed,adults,5400,0.014,0.119,1,0,1,1,5,4,0.4,0.728704,0.449696,0.709542
closed,adults,5400,0.014,0.119,1,0,1,1,6,5,0.4,0.763856,0.54176,0.747582
closed,adults,5400,0.014,0.119,1,0,1,1,7,6,0.4,0.801618,0.655008,0.793488
closed,adults,5400,0.014,0.119,1,0,1,1,8,7,0.4,0.812906,0.710704,0.80771
closed,adults,5400,0.014,0.119,1,0,1,1,9,8,0.4,0.853122,0.778032,0.848888
closed,adults,5400,0.014,0.119,1,0,1,1,10,9,0.4,0.865564,0.801716,0.85749
closed,adults,5400,0.014,0.119,1,0,1,1,11,10,0.4,0.878266,0.82938,0.877602
closed,adults,5400,0.014,0.119,1,0,1,1,12,11,0.4,0.916254,0.874798,0.91072
closed,adults,5400,0.014,0.119,1,0,1,1,13,12,0.4,0.911846,0.879056,0.905328
closed,adults,5400,0.014,0.119,1,0,1,1,14,13,0.4,0.930804,0.911794,0.927896
closed,adults,5400,0.014,0.119,1,0,1,1,15,14,0.4,0.939654,0.92193,0.928734
closed,adults,5400,0.014,0.119,1,0,1,1,16,15,0.4,0.945712,0.929726,0.945984
closed,adults,5400,0.014,0.119,1,0,1,1,17,16,0.4,0.952622,0.937288,0.946918
closed,adults,5400,0.014,0.119,1,0,1,1,18,17,0.4,0.964778,0.951336,0.954844
closed,adults,5400,0.014,0.119,1,0,1,1,19,18,0.4,0.95989,0.956006,0.955208
closed,adults,5400,0.014,0.119,1,0,1,1,20,19,0.4,0.9658,0.95892,0.95353
closed,adults,5400,0.014,0.119,1,0,1,1,21,20,0.4,0.973372,0.965402,0.968692
closed,adults,5400,0.014,0.119,1,0,1,1,22,21,0.4,0.969332,0.964246,0.959312
closed,adults,5400,0.014,0.119,1,0,1,1,23,22,0.4,0.967696,0.965036,0.963732
closed,adults,5400,0.014,0.119,1,0,1,1,24,23,0.4,0.97078,0.971362,0.969496
closed,adults,5400,0.014,0.119,1,0,1,1,25,24,0.4,0.977776,0.976694,0.972726
closed,adults,5400,0.014,0.119,1,0,1,1,26,25,0.4,0.971142,0.974956,0.97163
closed,adults,5400,0.014,0.119,1,0,1,1,27,26,0.4,0.97882,0.976292,0.971808
closed,adults,5400,0.014,0.119,1,0,1,1,28,27,0.4,0.973594,0.971912,0.972724
closed,adults,5400,0.014,0.119,1,0,1,1,29,28,0.4,0.97396,0.979804,0.970424
closed,adults,5400,0.014,0.119,1,0,1,1,30,29,0.4,0.974118,0.976916,0.97531
closed,adults,5400,0.014,0.119,1,0,1,1,31,30,0.4,0.976244,0.972812,0.971558
closed,adults,5400,0.014,0.119,1,0,1,1,32,31,0.4,0.969014,0.974508,0.967508
closed,adults,5400,0.014,0.119,1,0,1,1,33,32,0.4,0.980378,0.982362,0.974512
closed,adults,5400,0.014,0.119,1,0,1,1,34,33,0.4,0.98163,0.979934,0.974126
closed,adults,5400,0.014,0.119,1,0,1,1,35,34,0.4,0.97859,0.980506,0.980382
closed,adults,5400,0.014,0.119,1,0,1,1,36,35,0.4,0.98067,0.979178,0.977168
closed,adults,5400,0.014,0.119,1,0,1,1,37,36,0.4,0.980656,0.981022,0.97694
closed,adults,5400,0.014,0.119,1,0,1,1,38,37,0.4,0.978628,0.983088,0.978606
closed,adults,5400,0.014,0.119,1,0,1,1,39,38,0.4,0.98471,0.983924,0.98058
closed,adults,5400,0.014,0.119,1,0,1,1,40,39,0.4,0.981064,0.97942,0.977914
closed,adults,5400,0.014,0.119,1,0,1,1,41,40,0.4,0.981082,0.981282,0.980568
closed,adults,5400,0.014,0.119,1,0,1,1,42,41,0.4,0.98078,0.981978,0.971688
closed,adults,5400,0.014,0.119,1,0,1,1,43,42,0.4,0.985468,0.98237,0.981012
closed,adults,5400,0.014,0.119,1,0,1,1,44,43,0.4,0.984864,0.982036,0.978754
closed,adults,5400,0.014,0.119,1,0,1,1,45,44,0.4,0.98308,0.984216,0.982332
closed,adults,5400,0.014,0.119,1,0,1,1,46,45,0.4,0.979208,0.981868,0.97717
closed,adults,5400,0.014,0.119,1,0,1,1,47,46,0.4,0.980786,0.97797,0.978838
closed,adults,5400,0.014,0.119,1,0,1,1,48,47,0.4,0.982564,0.979472,0.98047
closed,adults,5400,0.014,0.119,1,0,1,1,49,48,0.4,0.986944,0.984048,0.98168
closed,adults,5400,0.014,0.119,1,0,1,1,50,49,0.4,0.982236,0.981994,0.981794
closed,adults,5400,0.014,0.119,1,0,1,1,51,50,0.4,0.981938,0.98215,0.981154
closed,adults,5400,0.014,0.119,1,0,1,1,52,51,0.4,0.980836,0.979318,0.981926
closed,adults,5400,0.014,0.119,1,0,1,1,53,52,0.4,0.985802,0.98494,0.981616
closed,adults,5400,0.014,0.119,1,0,1,1,54,53,0.4,0.98405,0.982294,0.978994
closed,adults,5400,0.014,0.119,1,0,1,1,55,54,0.4,0.981234,0.982024,0.984256
closed,adults,5400,0.014,0.119,1,0,1,1,56,55,0.4,0.97854,0.9789,0.978528
closed,adults,5400,0.014,0.119,1,0,1,1,0,-1,0.5,0.485814,0.498002,0.498002
closed,adults,5400,0.014,0.119,1,0,1,1,1,0,0.5,0.60669,0.105832,0.588364
closed,adults,5400,0.014,0.119,1,0,1,1,2,1,0.5,0.641946,0.190954,0.621428
closed,adults,5400,0.014,0.119,1,0,1,1,3,2,0.5,0.705128,0.309478,0.67759
closed,adults,5400,0.014,0.119,1,0,1,1,4,3,0.5,0.73747,0.427228,0.710412
closed,adults,5400,0.014,0.119,1,0,1,1,5,4,0.5,0.770048,0.53978,0.758114
closed,adults,5400,0.014,0.119,1,0,1,1,6,5,0.5,0.801578,0.638758,0.793346
closed,adults,5400,0.014,0.119,1,0,1,1,7,6,0.5,0.802154,0.685556,0.79315
closed,adults,5400,0.014,0.119,1,0,1,1,8,7,0.5,0.825024,0.747392,0.817924
closed,adults,5400,0.014,0.119,1,0,1,1,9,8,0.5,0.861918,0.795144,0.85832
closed,adults,5400,0.014,0.119,1,0,1,1,10,9,0.5,0.875308,0.820656,0.872532
closed,adults,5400,0.014,0.119,1,0,1,1,11,10,0.5,0.900302,0.858018,0.88844
closed,adults,5400,0.014,0.119,1,0,1,1,12,11,0.5,0.923966,0.887026,0.908172
closed,adults,5400,0.014,0.119,1,0,1,1,13,12,0.5,0.931126,0.899026,0.92173
closed,adults,5400,0.014,0.119,1,0,1,1,14,13,0.5,0.937466,0.90931,0.933478
closed,adults,5400,0.014,0.119,1,0,1,1,15,14,0.5,0.94037,0.924478,0.944898
closed,adults,5400,0.014,0.119,1,0,1,1,16,15,0.5,0.938344,0.925728,0.935192
closed,adults,5400,0.014,0.119,1,0,1,1,17,16,0.5,0.946256,0.932946,0.942964
closed,adults,5400,0.014,0.119,1,0,1,1,18,17,0.5,0.949748,0.938424,0.946034
closed,adults,5400,0.014,0.119,1,0,1,1,19,18,0.5,0.96569,0.953504,0.95761
closed,adults,5400,0.014,0.119,1,0,1,1,20,19,0.5,0.962086,0.95354,0.956272
closed,adults,5400,0.014,0.119,1,0,1,1,21,20,0.5,0.97058,0.961828,0.965876
closed,adults,5400,0.014,0.119,1,0,1,1,22,21,0.5,0.97563,0.960584,0.96761
closed,adults,5400,0.014,0.119,1,0,1,1,23,22,0.5,0.968538,0.95812,0.966616
closed,adults,5400,0.014,0.119,1,0,1,1,24,23,0.5,0.973896,0.966684,0.969978
closed,adults,5400,0.014,0.119,1,0,1,1,25,24,0.5,0.973772,0.965222,0.972808
closed,adults,5400,0.014,0.119,1,0,1,1,26,25,0.5,0.979022,0.97072,0.97409
closed,adults,5400,0.014,0.119,1,0,1,1,27,26,0.5,0.980468,0.97198,0.974
closed,adults,5400,0.014,0.119,1,0,1,1,28,27,0.5,0.977656,0.967748,0.974658
closed,adults,5400,0.014,0.119,1,0,1,1,29,28,0.5,0.981248,0.975252,0.98036
closed,adults,5400,0.014,0.119,1,0,1,1,30,29,0.5,0.979764,0.973722,0.976466
closed,adults,5400,0.014,0.119,1,0,1,1,31,30,0.5,0.978552,0.971478,0.97394
closed,adults,5400,0.014,0.119,1,0,1,1,32,31,0.5,0.977228,0.971628,0.97631
closed,adults,5400,0.014,0.119,1,0,1,1,33,32,0.5,0.979722,0.972284,0.974848
closed,adults,5400,0.014,0.119,1,0,1,1,34,33,0.5,0.984976,0.97599,0.98172
closed,adults,5400,0.014,0.119,1,0,1,1,35,34,0.5,0.986396,0.977288,0.9851
closed,adults,5400,0.014,0.119,1,0,1,1,36,35,0.5,0.984272,0.9778,0.977036
closed,adults,5400,0.014,0.119,1,0,1,1,37,36,0.5,0.979546,0.977812,0.975328
closed,adults,5400,0.014,0.119,1,0,1,1,38,37,0.5,0.976752,0.976212,0.97746
closed,adults,5400,0.014,0.119,1,0,1,1,39,38,0.5,0.980708,0.979898,0.981576
closed,adults,5400,0.014,0.119,1,0,1,1,40,39,0.5,0.976802,0.973572,0.97773
closed,adults,5400,0.014,0.119,1,0,1,1,41,40,0.5,0.978926,0.975116,0.976288
closed,adults,5400,0.014,0.119,1,0,1,1,42,41,0.5,0.983554,0.978128,0.982716
closed,adults,5400,0.014,0.119,1,0,1,1,43,42,0.5,0.985882,0.97848,0.977524
closed,adults,5400,0.014,0.119,1,0,1,1,44,43,0.5,0.983382,0.979232,0.979222
closed,adults,5400,0.014,0.119,1,0,1,1,45,44,0.5,0.986788,0.978416,0.977202
closed,adults,5400,0.014,0.119,1,0,1,1,46,45,0.5,0.98363,0.977684,0.977616
closed,adults,5400,0.014,0.119,1,0,1,1,47,46,0.5,0.983698,0.976876,0.979812
closed,adults,5400,0.014,0.119,1,0,1,1,48,47,0.5,0.981594,0.976514,0.978852
closed,adults,5400,0.014,0.119,1,0,1,1,49,48,0.5,0.98269,0.977356,0.979412
closed,adults,5400,0.014,0.119,1,0,1,1,50,49,0.5,0.984528,0.978952,0.980706
closed,adults,5400,0.014,0.119,1,0,1,1,51,50,0.5,0.984538,0.97812,0.97956
closed,adults,5400,0.014,0.119,1,0,1,1,52,51,0.5,0.983152,0.97768,0.979318
closed,adults,5400,0.014,0.119,1,0,1,1,53,52,0.5,0.98676,0.98087,0.983546
closed,adults,5400,0.014,0.119,1,0,1,1,54,53,0.5,0.982892,0.97732,0.977052
closed,adults,5400,0.014,0.119,1,0,1,1,55,54,0.5,0.981974,0.975252,0.978704
closed,adults,5400,0.014,0.119,1,0,1,1,56,55,0.5,0.981076,0.977362,0.97767
closed,adults,5400,0.014,0.119,1,0,1,1,0,-1,0.6,0.479674,0.498002,0.498002
closed,adults,5400,0.014,0.119,1,0,1,1,1,0,0.6,0.595854,0.185792,0.597584
closed,adults,5400,0.014,0.119,1,0,1,1,2,1,0.6,0.654212,0.279746,0.64633
closed,adults,5400,0.014,0.119,1,0,1,1,3,2,0.6,0.71662,0.407356,0.707404
closed,adults,5400,0.014,0.119,1,0,1,1,4,3,0.6,0.770548,0.51888,0.75558
closed,adults,5400,0.014,0.119,1,0,1,1,5,4,0.6,0.800094,0.608122,0.784992
closed,adults,5400,0.014,0.119,1,0,1,1,6,5,0.6,0.79105,0.668638,0.782828
closed,adults,5400,0.014,0.119,1,0,1,1,7,6,0.6,0.848374,0.743328,0.836054
closed,adults,5400,0.014,0.119,1,0,1,1,8,7,0.6,0.854562,0.786622,0.849212
closed,adults,5400,0.014,0.119,1,0,1,1,9,8,0.6,0.887554,0.829538,0.871508
closed,adults,5400,0.014,0.119,1,0,1,1,10,9,0.6,0.910684,0.865132,0.904416
closed,adults,5400,0.014,0.119,1,0,1,1,11,10,0.6,0.920598,0.887498,0.912972
